question_text,option_a,option_b,option_c,option_d,correct_answer
What does 'HTML' stand for?,HyperText Markup Language,HighText Machine Language,HyperText and Links Markup,HomeTool Markup Language,A
Which language is primarily used for styling web pages?,Python,JavaScript,CSS,HTML,C
What is 2 + 2 * 2?,8,6,4,10,B
What is the capital of France?,London,Berlin,Madrid,Paris,D
What does 'SQL' stand for?,Structured Query Language,Simple Query Language,Standard Question Language,Sequential Query Logic,A
What is the approximate value of Pi?,3.14,2.71,1.61,4.0,A
Which of these is NOT a programming language?,Java,C++,HTML,Python,C
What does 'DNA' stand for?,Deoxyribonucleic Acid,Dihydrogen Nucleic Acid,Data Network Access,Deoxyribo Nucleotide Access,A
Which planet is known as the Red Planet?,Jupiter,Mars,Venus,Saturn,B
"In Python, what is the main purpose of a 'for' loop?",To define a function,To store a variable,To iterate over a sequence,To make a conditional decision,C